分数,本段人数,累计人数
239,146,105205
238,137,105342
237,146,105488
236,124,105612
235,126,105738
234,146,105884
233,123,106007
232,123,106130
231,141,106271
230,122,106393
229,100,106493
228,104,106597
227,105,106702
226,99,106801
225,114,106915
224,98,107013
223,104,107117
222,112,107229
221,116,107345
220,109,107454
219,102,107556
218,86,107642
217,92,107734
216,78,107812
215,93,107905
214,85,107990
213,81,108071
212,86,108157
211,75,108232
210,72,108304
209,73,108377
208,66,108443
207,60,108503
206,59,108562
205,58,108620
204,53,108673
203,54,108727
202,51,108778
201,60,108838
200,47,108885
199,48,108933
198,36,108969
197,49,109018
196,37,109055
195,33,109088
194,36,109124
193,27,109151
192,32,109183
191,38,109221
190,26,109247
189,20,109267
188,32,109299
187,28,109327
186,24,109351
185,23,109374
184,25,109399
183,25,109424
182,25,109449
181,23,109472
180,22,109494
179,13,109507
178,18,109525
177,20,109545
176,13,109558
175,19,109577
174,12,109589
173,15,109604
172,16,109620
171,11,109631
170,13,109644
169,12,109656
168,14,109670
167,13,109683
166,10,109693
165,6,109699
164,11,109710
163,8,109718
162,8,109726
161,8,109734
160,11,109745
159,7,109752
158,5,109757
157,5,109762
156,7,109769
155,12,109781
154,4,109785
153,5,109790
152,5,109795
151,12,109807
150,4,109811
