学校名称,专业名称,最高分,最低分,平均分
北方工业大学,机械设计制造及自动化,626,,626
北方工业大学,会计学,605,,597
北京印刷学院,机械工程及自动化,571,,519
北京印刷学院,印刷工程,585,,579
北京建筑工程学院,无机非金属材料工程,574,,574
北京建筑工程学院,测绘工程,591,,577
北京石油化工学院,高分子材料与工程,578,,578
北京石油化工学院,机械工程及自动化,574,,579
北京石油化工学院,过程装备与控制工程,579,,573
北京石油化工学院,热能与动力工程,576,,575
北京石油化工学院,电气工程及其自动化,583,,581
北京石油化工学院,通信工程,583,,581
北京物资学院,经济学,576,,576
北京物资学院,计算机科学与技术,578,,578
北京物资学院,工商管理,594,,
北京物资学院,市场营销,582,,582
北京物资学院,人力资源管理,588,,588
北京物资学院,物流管理,592,,583
首都经济贸易大学,英语,595,,595
首都经济贸易大学,信息管理与信息系统,637,,537
首都经济贸易大学,人力资源管理,629,,629
天津科技大学,国际经济与贸易,574,,
天津科技大学,生物技术,573,,575
天津科技大学,海洋技术,592,,583
天津科技大学,环境科学,539,,
天津科技大学,机械设计制造及自动化,576,,547
天津科技大学,工业设计,576,,576
天津科技大学,过程装备与控制工程,576,,547
天津科技大学,自动化,626,,601
天津科技大学,计算机科学与技术,590,,579
天津科技大学,网络工程,576,,573
天津科技大学,环境工程,520,,517
天津科技大学,轻工工程,583,,582
天津科技大学,食品质量与安全,586,,575
天津科技大学,生物工程,586,,582
天津科技大学,木材科学与工程,567,,542
天津大学,国际经济与贸易,574,,
天津大学,信息与计算科学,574,,556
天津大学,电子信息科学与技术,586,,579
天津大学,光信息科学与技术,607,,587
天津大学,材料科学与工程,607,,596
天津大学,自动化,579,,
天津大学,电子信息工程,608,,605
天津大学,通信工程,600,,587
天津大学,计算机科学与技术,600,,
天津大学,电子科学与技术,576,,
天津大学,软件工程,577,,528
天津大学,网络工程,575,,571
中国民航大学,法学,601,,601
中国民航大学,英语,574,,574
中国民航大学,信息与计算科学,594,,594
中国民航大学,材料物理,600,,600
中国民航大学,电气工程及其自动化,611,,604
中国民航大学,自动化,614,,597
中国民航大学,电子信息工程,614,,596
中国民航大学,计算机科学与技术,601,,573
中国民航大学,土木工程,621,,621
中国民航大学,安全工程,613,,599
中国民航大学,交通工程,625,,625
中国民航大学,油气储运工程,589,,
中国民航大学,工业工程,608,,608
中国民航大学,财务管理,621,,621
中国民航大学,物流管理,614,,614
中国民航大学,公共事业管理,581,,573
天津理工大学,电子信息科学与技术,601,,595
天津理工大学,光信息科学与技术,581,,575
天津理工大学,热能与动力工程,593,,593
天津理工大学,电子科学与技术,588,,571
天津理工大学,安全工程,589,,567
天津理工大学,化学工程与工艺,575,,575
天津理工大学,制药工程,564,,557
天津理工大学,药学,558,,554
天津农学院,环境科学,538,,538
天津农学院,计算机科学与技术,560,,560
天津农学院,水文与水资源工程,569,,569
天津农学院,食品科学与工程,550,,550
天津农学院,植物保护,555,,555
天津农学院,种子科学与工程,523,,523
天津农学院,动物科学,519,,519
天津农学院,动物医学,514,,514
天津农学院,信息管理与信息系统,531,,531
天津中医药大学,应用心理学,561,,
天津中医药大学,中医学,573,,
天津中医药大学,护理学,569,,
天津中医药大学,市场营销,563,,
天津中医药大学,公共事业管理,556,,
天津师范大学,教育学,576,,576
天津师范大学,教育技术学,561,,534
天津师范大学,英语,586,,586
天津师范大学,朝鲜语,558,,
天津师范大学,数学与应用数学,585,,585
天津师范大学,物理学,568,,564
天津师范大学,计算机科学与技术,554,,549
天津师范大学,信息工程,528,,528
天津师范大学,软件工程,512,,512
天津工程师范学院,金融学,582,,582
天津工程师范学院,教育技术学,547,,547
天津工程师范学院,职业技术教育管理,563,,563
天津工程师范学院,英语,562,,562
河北科技师范学院,数学与应用数学,553,,553
河北科技师范学院,信息与计算科学,571,,571
河北科技师范学院,微电子学,558,,543
河北科技师范学院,应用心理学,550,,550
河北科技师范学院,机械设计制造及自动化,577,,572
河北科技师范学院,工业设计,562,,562
河北科技师范学院,汽车服务工程,570,,570
河北科技师范学院,测控技术与仪器,552,,552
河北科技师范学院,自动化,563,,561
河北科技师范学院,电子信息工程,559,,557
河北科技师范学院,通信工程,560,,559
河北科技师范学院,计算机工程与技术,551,,551
天津工程师范学院,电子科学与技术,559,,559
天津工程师范学院,网络工程,545,,542
天津工程师范学院,交通运输,546,,541
天津工程师范学院,人力资源管理,562,,562
天津工程师范学院,电子商务,556,,556
天津工程师范学院,劳动与社会保障,547,,547
天津商业大学,经济学类,577,,577
天津商业大学,工业设计,572,,570
天津商业大学,热能与动力工程,590,,590
天津商业大学,工商管理类,591,,583
天津商业大学,行政管理,553,,553
天津商业大学,公共事业管理,575,,572
河北大学,经济学类,572,,569
河北大学,环境科学,557,,514
河北大学,统计学,565,,558
河北大学,测控技术与仪器,565,,549
河北大学,药学类,552,,552
河北大学,工商管理类,566,,510
河北大学,信息与计算科学,550,,
河北工程大学,应用物理学,550,,549
河北工程大学,无机非金属材料工程,571,,555
河北工程大学,机械设计及控制工程,552,,
河北工程大学,测控技术与仪器,569,,554
河北工程大学,热能与动力工程,565,,560
河北工程大学,土木工程,558,,556
河北工程大学,建筑环境与设备工程,565,,553
河北工程大学,水利水电工程,569,,554
河北工程大学,环境工程,568,,552
河北工程大学,交通工程,559,,551
河北工程大学,工程力学,558,,556
河北工程大学,农业水利工程,548,,548
河北工程大学,工程管理,581,,565
石家庄经济学院,经济学类,570,,557
石家庄经济学院,数学与应用数学,522,,
石家庄经济学院,地球信息科学与技术,542,,542
石家庄经济学院,矿物加工工程,528,,516
石家庄经济学院,资源勘查工程,557,,557
石家庄经济学院,宝石及材料工艺学,543,,547
石家庄经济学院,电气信息类,545,,545
石家庄经济学院,信息管理与信息系统,533,,536
石家庄经济学院,工商管理类,571,,557
华北水利水电学院,地理信息系统,576,,539
华北水利水电学院,机械设计制造及自动化,571,,570
华北水利水电学院,热能与动力工程,541,,
华北水利水电学院,水利水电工程,697,,581
河北理工大学,机械设计制造及自动化,573,,573
河北理工大学,热能与动力工程,570,,569
河北理工大学,自动化,570,,570
河北理工大学,通信工程,581,,573
河北理工大学,网络工程,550,,513
河北理工大学,建筑环境与设备工程,565,,534
河北理工大学,安全工程,547,,
河北理工大学,化学工程与工艺,565,,549
河北理工大学,交通工程,561,,511
河北科技大学,测控技术与仪器,574,,551
河北科技大学,热能与动力工程,574,,551
河北建筑学院,机械设计制造及自动化,553,,538
河北建筑学院,电气工程及其自动化,557,,546
河北建筑学院,建筑学,563,,563
河北建筑学院,城市规划,559,,559
河北建筑学院,土木工程,563,,553
河北建筑学院,建筑环境与设备工程,550,,545
河北建筑学院,给水排水工程,563,,548
河北建筑学院,建筑电气与智能化,576,,533
河北建筑学院,环境工程,541,,536
河北建筑学院,工程管理,547,,541
河北农业大学,经济学类,,,514
河北农业大学,国际经济与贸易,541,,538
河北农业大学,金融学,567,,541
河北农业大学,法学,575,,514
河北农业大学,数学与应用数学,530,,509
河北农业大学,生物科学类,541,,538
河北农业大学,资源环境与城乡规划管理,567,,541
河北农业大学,电子信息科学与技术,529,,529
河北农业大学,环境科学类,549,,549
河北农业大学,生态学,550,,543
河北农业大学,机械设计制造及自动化,549,,508
河北农业大学,工业设计,572,,559
河北农业大学,热能与动力工程,576,,547
河北农业大学,土木工程,543,,510
河北农业大学,水利水电工程,574,,534
河北农业大学,制药工程,537,,
河北农业大学,食品科学与工程,565,,558
河北农业大学,包装工程,555,,545
河北农业大学,农业机械化及自动化,535,,517
河北农业大学,农业电气化与自动化,575,,550
河北农业大学,农业水利工程,574,,534
河北农业大学,木材科学与工程,546,,
河北农业大学,中药学,552,,552
河北农业大学,工程管理,545,,
河北农业大学,工商管理,585,,544
河北农业大学,市场营销,585,,544
河北农业大学,会计学,585,,544
河北农业大学,财务管理,544,,
河北农业大学,土地资源管理,552,,520
河北农业大学,农林经济管理,565,,533
河北医科大学,预防医学,576,,572
河北医科大学,临床医学,600,,576
河北医科大学,中医学,573,,568
河北医科大学,中西医临床医学,575,,
河北医科大学,药学,574,,568
华北煤炭医学院,生物技术,520,,517
中北大学,通信工程,580,,576
中北大学,计算机科学与技术,571,,565
中北大学,软件工程,568,,561
中北大学,网络工程,581,,578
中北大学,环境工程,566,,564
中北大学,安全工程,573,,564
中北大学,化学工程与工艺,560,,
中北大学,制药工程,564,,
中北大学,包装工程,562,,560
中北大学,飞行器制造工程,582,,575
中北大学,探测制导与控制技术,588,,576
中北大学,地面武器机动工程,574,,563
中北大学,信息对抗技术,588,,576
中北大学,工程力学,563,,564
中北大学,生物工程,572,,565
中北大学,工业工程,559,,
山西农业大学,生物技术,585,,585
山西农业大学,机械设计制造及自动化,577,,577
山西农业大学,计算机科学与技术,549,,
山西农业大学,食品科学与工程,549,,
山西农业大学,农业机械化及其自动化,551,,520
山西农业大学,园艺,550,,549
山西农业大学,植物保护,522,,
山西农业大学,林学,550,,
山西农业大学,动物科学,547,,542
山西农业大学,动物医学,532,,
山西医科大学,预防医学,551,,
山西医科大学,临床医学,591,,570
山西医科大学,医学影像学,566,,563
山西医科大学,法医学,585,,579
山西医科大学,护理学,570,,516
山西医科大学,药学,569,,510
山西医科大学,药物制剂,565,,
长治医学院,临床医学,561,,509
长治医学院,麻醉学,512,,512
长治医学院,医学影像学,516,,516
长治医学院,医学检验,514,,514
长治医学院,口腔医学,517,,514
长治医学院,药学,514,,510
太原师范学院,科学教育,524,,524
太原师范学院,英语,559,,522
太原师范学院,数学与应用数学,508,,
太原师范学院,信息与计算科学,521,,520
太原师范学院,化学,533,,533
太原师范学院,生物科学,527,,526
山西大同大学,资源环境与城乡规划管理,514,,514
山西大同大学,地理信息系统,528,,528
山西大同大学,计算机科学与技术,528,,
山西大同大学,数学与应用数学,548,,531
山西大同大学,物理学,535,,534
山西财经大学,金融学,585,,585
山西财经大学,保险,576,,572
