学校名称,理科分数线,理科招生人数,文科分数线,文科招生人数
省最低控制线（二批）,516,,492,
西南民族大学,530,81,507,39
西北民族大学,517预455,34,494,44
北方民族大学,532预444,27,501预475,12
大连民族学院,532预516,213,528预514,74
防灾科技学院,518,20,511,2
吉林大学,529,,526,2
中国民航大学,576,38,571,4
中国民用航空飞行学院,556,11,544,1
华北科技学院,547,31,516,12
中国劳动关系学院,542,12,531,10
中华女子学院,549,13,526,11
石河子大学,517,27,504,11
中南民族大学,,,,
上海海关学院,,,,
北方工业大学,604,10,,
北京印刷学院,570,10,,
北京建筑工程学院,577,10,,
北京石油化工学院,571,20,,
北京联合大学,531,,,
北京物资学院,540,17,561,3
首都经济贸易大学,626,3,589,4
北京信息科技大学,,,,
北京城市学院,518,4,508,3
天津科技大学,575,51,532,10
天津工业大学,576,80,523,10
天津理工大学,578,40,,
天津农学院,518,22,506,3
天津中医药大学,518,29,506,15
天津师范大学,558,31,540,19
天津工程师范学院,528,70,530,10
天津商业大学,566,45,544,35
天津城市建设学院,553,,,
天津体育学院,,,511,3
唐山师范学院,,,,
河北大学,563,20,533,20
河北工程大学,519,36,513,4
石家庄经济学院,522,58,506,17
河北理工大学,544,50,,
河北科技大学,559,45,,
河北建筑工程学院,519,29,,
河北农业大学,533,100,,
河北医科大学,554,50,,
华北煤炭医学院,516,43,496,7
河北北方学院,531,6,501,4
承德医学院,516,20,,
河北师范大学,519,25,492,15
衡水学院,507,35,492,10
邢台学院,507,10,502,10
河北科技师范学院,516,25,502,5
北华航天工业学院,516,40,493,10
河北经贸大学,568,21,548,29
山西大学,,,492,5
太原科技大学,520,31,541,4
中北大学,555,128,532,13
山西农业大学,526,40,,
山西医科大学,559,22,532,6
长治医学院,516,30,,
山西师范大学,520,16,494,17
太原师范学院,522,20,494,20
山西大同大学,519,5,493,5
晋中学院,519,17,492,13
运城学院,519,15,497,3
忻州师范学院,503,13,494,7
山西财经大学,548,27,551,23
山西中医学院,516,20,502,10
太原工业学院,,,,
长治学院,543,9,494,9
内蒙古科技大学,516,54,495,6
内蒙古科技大学包头师范学院,517,6,496,9
内蒙古民族大学,518蒙380,49,492蒙455,16
内蒙古农业大学,516蒙415,75,,
内蒙古工业大学,517,50,,
内蒙古师范大学,,,,
呼伦贝尔学院,501,12,492,8
沈阳工业大学,572,42,501,7
沈阳航空工业学院,568 21专业520,39,524,4
沈阳理工大学,569,47,529,14
辽宁科技大学,544,37,514,18
辽宁石油化工大学,553预471,55,493预473,15
沈阳化工学院,543,70,,
大连交通大学,575五年534,116,522合495,8
大连工业大学,549,61,530,14
东北财经大学,,,,
辽宁工业大学,516,28,536,2
大连水产学院,552,54,545,11
大连医科大学,,,,
辽宁医学院,519,10,,
辽宁中医药大学,518,20,,
辽宁师范大学,526,17,535,12
沈阳师范大学,564,3,503,3
渤海大学,517,20,499,10
鞍山师范学院,524,12,502,8
大连外国语学院,603,4,592,13
沈阳体育学院,516,15,492,28
沈阳大学,520,6,497,4
大连大学,562,33,493,11
辽东学院,517,4,496,4
沈阳工程学院,531,12,,
延边大学,517预437,117,517鲜族494,75
东北电力大学,573,91,,
长春工业大学,555,76,522,19
吉林建筑工程学院,544 预479,37,492,4
吉林化工学院,516,40,,
吉林农业大学,531,80,504,7
北华大学,516,47,514,13
通化师范学院,519,23,477,10
吉林师范大学,516,22,504,7
吉林工程技术师范学院,520,8,506,2
长春师范学院,519,25,523,15
白城师范学院,,,492,7
长春税务学院,584,41,553,34
吉林华桥外国语学院,516,45,492,30
长春工程学院,530,80,494,4
吉林农业科技学院,516预457,20,预427,5
长春大学,519,13,497,4
吉林医药学院,518,22,,
上海应用技术学院,518,6,494,4
上海海事大学,600,19,566,4
上海水产大学,565,14,555,6
上海金融学院,576,14,597,6
上海工程技术大学,,,,
上海商学院,520,2,514,2
江苏科技大学,571,55,526,5
江苏工业学院,527,16,500,4
南京林业大学,545,28,533,4
南通大学,537,33,519,15
上海立信会计学院,,,,
苏州科技学院,546,20,538,10
常州工学院,521,4,,
南京工程学院,557,26,526,4
南京审计学院,640,8,624,6
淮海工学院,526,9,495,11
南京人口管理干部学院,523,6,529,10
淮阴工学院,,,,
江苏技术师范学院,,,,
杭州电子科技大学,,,,
浙江林学院,517,12,517,8
浙江师范大学,549,15,540,15
绍兴文理学院,517,10,496,9
台州学院,518,10,497,10
上海政法学院,533,5,521,5
上海第二工业大学,518,10,,
浙江科技学院,523,8,495,7
浙江传媒学院,559,23,539,16
安徽理工大学,516,40,,
安徽农业大学,517,40,529,10
安徽师范大学,519,12,508,38
阜阳师范学院,539,6,495,4
淮北煤炭师范学院,516,21,493,19
安徽财经大学,558,24,535,26
淮南师范学院,505,20,496,10
安徽建筑工业学院,518,60,,
安徽科技学院,530,15,500,5
合肥学院,520,15,492,15
福建工程学院,517,30,,
福建农林大学,530,6,,
福建中医学院,520,10,,
福建师范大学,,,520,30
闽江学院,520,6,521,4
泉州师范学院,516,12,492,
莆田学院,,20,495,
仰恩大学,528,10,499,10
华东交通大学,529,25,520,5
东华理工大学,524,16,492,7
南昌航空大学,554,42,512,12
江西理工大学,526,24,492,6
江西农业大学,516,16,492,4
江西中医学院,517,23,492,10
赣南医学院,502,10,,
江西师范大学,521,42,512,31
上饶师范学院,,10,497,
宜春学院,506,9,493,3
赣南师范学院,520,18,497,19
井冈山大学,521,4,505,2
江西财经大学,538,16,573,12
江西科技师范学院,501,2,,
九江学院,517,24,493,16
院南医学院,516,18,504,2
山东科技大学,573,60,,
青岛科技大学,571,53,,
济南大学,564,43,540,37
青岛理工大学,575,64,,
山东建筑大学,543,43,500,7
山东轻工业学院,516,50,,
山东理工大学,555,55,493,15
山东农业大学,549,65,503,5
青岛农业大学,516,18,530,2
潍坊医学院,518,15,,
泰山医学院,521,20,492,10
滨州医学院,509,50,494,10
山东中医药大学,525,20,,
济宁医学院,519,10,,
山东师范大学,557,20,545,15
曲阜师范大学,545,10,529,20
聊城大学,518,25,519,15
德州学院,531,15,492,15
滨州学院,516,40,492,10
鲁东大学,522,40,533,41
临沂师范学院,519,12,543,8
泰山学院,516,25,494,17
菏泽学院,518,6,492,4
山东经济学院,538,32,539,28
枣庄学院,,20,492,
潍坊学院,516,39,500,21
烟台大学,566,40,507,10
