年份,学校,分数线,公费人数,择校人数,总人数,外市县,其他
2004,绥化一中,571,,,1040,50
2004,绥化二中、绥化七中,534,
2005,绥化一中,602,,,,50,600以上735人
2005,绥化二中、绥化七中,563
2006,绥化一中,610,608,,,
2006,绥化二中、绥化七中,550
2006,绥化九中,550
2007,绥化一中,598,840,,1200
2007,绥化二中、绥化七中,539
2007,绥化九中,539
2008,绥化一中,590,865,,1200
2008,绥化二中、绥化七中,525
2008,绥化九中,525
2009,绥化一中,600,,,
2009,绥化二中、绥化七中,515
2009,绥化九中,515
2010,绥化一中,590,,,
2010,绥化二中、绥化七中,495
2010,绥化九中,495
2011,绥化一中,595,924,,
2011,绥化二中、绥化七中,505
2011,绥化九中,505
2012,绥化一中,603,942,,
2012,绥化二中、绥化七中,490
2012,绥化九中,490
2013,绥化一中,603,942,,,,AI总结非官方；与2012年数据(603分/942人)完全重合，疑似重复或错误，未核实
2014,绥化一中,552,1048,106,,,AI总结非官方；分公费/择校两线：公费552分(录取1048人)、择校535分(录取106人)；同期九中/七中/二中均为公费线
2014,绥化九中,501,,,,,AI总结非官方（公费线）
2014,绥化七中,455,,,,,AI总结非官方（公费线）
2014,绥化二中,420,,,,,AI总结非官方（公费线）
2015,绥化一中,552,,,,,预测非官方；分公费/择校两线：公费552分、择校535分（均为预测）
2016,绥化一中,549,,,,,AI总结非官方；另有奥赛班线617.8分
2016,绥化九中,511,,,,,AI总结非官方
2016,绥化七中,462,,,,,AI总结非官方
2016,绥化二中,391,,,,,AI总结非官方
2017,绥化一中,565
2017,绥化九中,533
2017,绥化七中,477
2017,绥化二中,399
2018,绥化一中,548,,,,,四校计划共招3495人（普通3365/定村配额80/特长50）
2018,绥化九中,509
2018,绥化七中,438
2018,绥化二中,341
2019,绥化一中,583,,,,,满分700分（不含体育为670分）；四校共录取3509人（含降段28人/特长43人/定村配额80人）
2019,绥化九中,556
2019,绥化七中,497
2019,绥化二中,433
2020,绥化一中,536,,,,,满分700分；四校共录取3657人（含降段21人/特长45人/定村配额80人）
2020,绥化九中,500
2020,绥化七中,428
2020,绥化二中,354
2021,绥化一中,502,,,,,四校计划招4210人（普通4080/定村配额80/艺体50）
2021,绥化九中,472
2021,绥化七中,414
2021,绥化二中,358
2022,绥化一中,517.6,,,,,市区考生6289人，计划招3451人（含农村定额100）
2022,绥化九中,481.6
2022,绥化七中,426
2022,绥化二中,357.7
2023,绥化一中,479.7
2023,绥化九中,435.2
2023,绥化七中,361.4
2023,绥化二中,262.5
2024,绥化一中,568
2024,绥化九中,530.4
2024,绥化七中,479.6
2024,绥化二中,415.1
2025,绥化一中,559.5,,,,,满分700分；民办普通高中统一线231.7分；市区四校考生共15351人
2025,绥化九中,510.9
2025,绥化七中,462.3
2025,绥化二中,386.1
2026,绥化一中,547.8,,,,,满分700分；1/2班617分录取第1-110名、3/4班603.2分录取第111-220名（重点班线，非统一录取线）；市区四校考生共14153人
2026,绥化九中,501.4
2026,绥化七中,448.9
2026,绥化二中,364.9
