涉及中考年份,性质,出处标题,原文摘录,来源页,存档日期
2003,许可,大庆实验中学下半年工作简报,2003年我校中考市内统招录取分数线为480分，超过市内统招录取分数线的576名学生中，我校录取了342名，接近全市的三分之二；全市并列前12名的学生中，我校录取10名；全市并列前21名的学生中，我校录取17名。同时，按照大庆市外市县学生招生政策，我省部分尖子生慕名选择我校就读。2003年招生是我校成立以来，高一招生生源质量最好的一年。,sy.dq.hl.cn/ssxy/2004330161715.htm,2004-04-29
2003,规模,大庆实验中学简介,去年大庆市中考成绩480分以上有577人。其中有342人报考了实验中学，占报考人数的60%。外市县的中考状元有30多人选择了实验中学，全省各科竞赛的尖子生有30多人也选择了大庆实验中学。,sy.dq.hl.cn/joinus/introduction.htm,2004-08-24
2003,规模,大庆铁人中学2006年高考喜报,2003年，我校在三所省重点中学中，生源质量是比较差的，中考全市前50名，铁中有8人，萨区同类校有33人。除此之外萨区同类校还有外市县中考状元30多人及300余名外市县尖子生。,trzx.cn/bulletin/2006/2006-6-28/index.htm,2006-09-03
2004,禁令,大庆实验中学简介,由于今年省市教育行政部门严格规定不许各高中学校招收外地学生，从而避免了外地的尖子学生挤占本地学生进入英才部的现象出现。,sy.dq.hl.cn/joinus/introduction.htm,2004-08-24
2004,豁免,大庆实验中学2004年招生简章,2004年，我校面向全市计划招生750人；由省委宣传部、省教育厅联合组织在全省招收宏志班学生50人。,sy.dq.hl.cn/joinus/,2004-07-27
2003,对照,大庆实验中学2003年招生简章,2003年，我校立足本市，面向全省，计划招生740人。,sy.dq.hl.cn/joinus/,2003-04-15
2000,基准,大庆实验中学2003年高考喜报,大庆实验中学在生源极其不利的情况下（高分段的重读生和外县生寥寥无几，本市尖子生数量极少）…应届理科生（除外县生和补习生外）600分以上学生共12人，比第二的学校多3人。,sy.dq.hl.cn/pub/vy.htm,2004-01-10
2003,班级实例,实验中学03级21班（俄语班）班级简介,全班人数64人（2名宏志班学生）…住校生数62人，外县生人数52人…51人来自乡镇中学。,dqsy.com.cn/class/0321/htdocs/index2.html,2006-06-20
2004,三年后结果,大庆市2007年高考高分段人数分布表,理科680分以上全市73人：实验39（市区应届9／外县10／重读20）、铁人21（9／7／5）、一中10（10／0／0）。,yz.dqt.com.cn/2007/fenbu.htm,2007-08-16
