学校名称,理科分数线,理科招生人数,文科分数线,文科招生人数
省最低控制线（一批）,578,,557,
北京大学医学部,670,19,,
北京大学,678,34,642哲学类637,24
中国人民大学,627,29,614,28
清华大学,681,51,640,10
北京师范大学,640,16,610,16
北京外国语大学,599,8,622,9
南开大学,644,51,611,34
天津大学,594,98,569,4
大连理工大学,578,177,581,13
吉林大学,591,548,591,81
武汉大学,578,40,578,10
复旦大学,650,13,610,17
上海交通大学,661,39,,
同济大学,628,72,,
华东理工大学,609,70,,
华东师范大学,582,22,,
上海外国语大学,630,4,614,4
南京大学,652,17,559,8
东南大学,615,30,,
浙江大学,656,50,615,10
厦门大学,589,52,613,21
山东大学,613,65,601,14
中国海洋大学,605,51,591,14
中山大学,598,46,574,20
华中科技大学,587,50,,
兰州大学,604,32,573,23
四川大学,604,45,597,16
重庆大学,601,14,572,2
江南大学,587,65,581,17
西安交通大学,585,31,,
中南大学,595,126,572,12
陕西师范大学,578,16,558,21
东北师范大学,580,93,577,48
西南大学,579,54,570,6
北京语言大学,617,12,584预583,9
华南理工大学,578,65,,
中国政法大学,618,20,602,38
对外经济贸易大学,604,20,609,20
中央财经大学,634,31,609,13
中南财经政法大学,586,22,561,11
上海财经大学,643,16,607,9
西南财经大学,592,56,592,29
中国农业大学,596,115,,
南京农业大学,587,66,560,5
华中农业大学,578,54,560,12
西北农林科技大学,578,54,557,6
北京林业大学,578,77,563,13
湖南大学,578,66,581,14
合肥工业大学,588,94,557,6
西安电子科技大学,604,92,559,6
北京交通大学,617定597,105,563,4
北京科技大学,616,75,558,10
北京化工大学,595,102,562,9
北京邮电大学,632,106,597预574,10
北京中医药大学,578,26,564,6
中国传媒大学,606,26,580,12
东北大学,608,67,,
东华大学,598,70,,
河海大学,599,45,574,16
中国药科大学,578,54,,
中国石油大学（华东）,593,96,568,19
中国地质大学（武汉）,580,54,558,10
中国矿业大学（北京）,592,53,561,2
中国石油大学（北京）,602,61,557,7
中国地质大学（北京）,600,66,571,10
西南交通大学,601,93,557,15
电子科技大学,619,45,,
长安大学,578,76,557,11
武汉理工大学,596,63,558,9
华侨大学,,,,
山东大学威海分校,579,46,558,24
北京体育大学,582,16,564,8
北京航空航天大学,643,72,565,3
北京理工大学,619定611,77,570,8
南京航空航天大学,607,50,,
南京理工大学,603,51,,
西北工业大学,599,54,575,6
中国科学技术大学,651,25,,
暨南大学,588,5,567,10
中央民族大学,597预588,51,580,55
华北电力大学（北京）,595,72,577,13
华北电力大学（保定）,604,61,578,7
大连海事大学,592,112,590,26
中国矿业大学,578,84,557,17
东北大学秦皇岛分校,578,89,557,11
上海交通大学医学院,,,,
北京第二外国语学院,,,607,6
北京工商大学,601,24,567,6
燕山大学,593,208,559,27
大连医科大学,,,,
辽宁工程技术大学,578,40,569,10
沈阳农业大学,578,49,557,6
中国医科大学,579,23,,
沈阳药科大学,585,70,,
东北财经大学,586,34,584,36
西南政法大学,584,33,577,29
西安建筑科技大学,578,24,563,1
内蒙古大学,578,14,559,13
石家庄铁道学院,578,90,557,10
太原理工大学,585,80,,
江苏大学,588,53,562,9
首都师范大学,602,12,559,8
南京信息工程大学,581,30,,
天津中医药大学,582,6,,
西安理工大学,580,37,,
新疆大学,586,6,,
深圳大学,591,16,579,17
宁波大学,586,19,,
天津医科大学,594,20,,
西北大学,589,33,574,18
四川农业大学,578,18,,
广西大学,579,28,557,13
南昌大学,581,87,563,36
辽宁大学,,,562,30
湘潭大学,578,37,557,28
云南大学,580,21,569,21
华东政法大学,578,11,592,15
湖南师范大学,578,8,557,5
郑州大学,589,64,578,28
福州大学,581,22,564,8
河北工业大学,585,30,,
陕西科技大学,585,15,,
长春理工大学,578,63,557,16
苏州大学,589,29,561,11
中北大学,578,25,,
北京工业大学,606,15,,
南京师范大学,582,18,573,12
华南师范大学,578,6,561,10
浙江理工大学,579,20,,
湖北大学,578,16,560,9
中国民航大学,581女597,23,,
东北电力大学,596,21,,
重庆邮电大学,578,38,,
首都医科大学,,,,
南方医科大学,,,,
贵州大学,578,40,557,26
广东外语外贸大学,600,8,577,12
宁波诺丁汉大学,579,20,557,10
广西医科大学,579,5,,
山西医科大学,590,2,,
沈阳建筑大学,578,28,,
上海理工大学,583,16,,
天津财经大学,578,11,563,10
中国计量学院,,,,
大连交通大学,,,,
南通大学,,,,
广州中医药大学,,,,
河南大学,,,,
成都中医药大学,,,,
华南农业大学,,,,
浙江工业大学,,,,
南京邮电大学,,,,
南京财经大学,,,,
南京工业大学,,,,
江苏科技大学,,,,
长沙理工大学,,,,
青岛科技大学,,,,
青岛大学,,,,
浙江师范大学,,,,
大连工业大学,,,,
西交利物浦大学,,,,
上海大学,,,,
辽宁中医药大学,,,,
青岛理工大学,,,,
哈尔滨工业大学,625定665,830,579,60
哈尔滨工程大学,608,465,560,15
东北林业大学,578,233,557,38
哈尔滨工程大学（联办）,578,90,557,10
哈尔滨工业大学（威海校区）,591定578,30,,
哈尔滨师范大学,568,820,547,625
哈尔滨医科大学,586,371,557,20
黑龙江大学,578,357,557,274
东北农业大学,578,312,563,14
大庆石油学院,570,1281,552,109
哈尔滨商业大学,578,228,557,149
黑龙江中医药大学,578,75,557,20
佳木斯大学,569,132,548,20
哈尔滨理工大学,578,963,,
齐齐哈尔医学院,574,30,,
齐齐哈尔大学,568,39,557,18
