学校名称,理科分数线,理科招生人数,文科分数线,文科招生人数
省最低控制线（二批）,467,,466,
西南民族大学,472,82,486,33
西北民族大学,467,28,471,23
北方民族大学,459,20,460,20
大连民族学院,479,249,495,76
防灾科技学院,,,,
吉林大学,,,511,2
中国民航大学,516,58,516,7
中国民用航空飞行学院,470,17,475,3
华北科技学院,470,21,470,7
中国劳动关系学院,,,,
中华女子学院,472,8,487,12
石河子大学,447,36,456,4
中南民族大学,,,,
上海海关学院,,,,
北方工业大学,592,8,523,10
北京印刷学院,519,26,,
北京建筑工程学院,,,,
北京石油化工学院,516,26,492,2
北京联合大学,,,,
北京物资学院,522,27,527,8
首都经济贸易大学,545,4,,
北京信息科技大学,,,,
北京城市学院,,,,
天津科技大学,519,48,486,2
天津工业大学,532,50,511,10
天津理工大学,516,40,,
天津农学院,470,10,,
天津中医药大学,,,,
天津师范大学,519,29,504,16
天津工程师范学院,,,,
天津商业大学,513,65,520,35
天津城市建设学院,485,50,,54
天津体育学院,,,,
唐山师范学院,,,,
河北大学,,,,
河北工程大学,467,52,505,8
石家庄经济学院,468,38,489,8
河北理工大学,468,30,,
河北科技大学,470,28,,
河北建筑工程学院,,,,
河北农业大学,467,55,,
河北医科大学,,,,
华北煤炭医学院,467,45,,
河北北方学院,,,,
承德医学院,,,,
河北师范大学,507,20,510,20
衡水学院,,,,
邢台学院,,,,
河北科技师范学院,461,20,,
北华航天工业学院,,,,
河北经贸大学,497,10,506,10
山西大学,484,8,500,12
太原科技大学,482,49,493,5
中北大学,,,,
山西农业大学,471,18,502,2
山西医科大学,,,,
长治医学院,447,30,,
山西师范大学,478,9,466,6
太原师范学院,469,17,469,13
山西大同大学,478,4,470,6
晋中学院,,,,
运城学院,447,15,448,15
忻州师范学院,,,,
山西财经大学,517,23,512,27
山西中医学院,,,,
太原工业学院,,,,
长治学院,,,,
内蒙古科技大学,467,68,474,12
内蒙古科技大学包头师范学院,,,,
内蒙古民族大学,458,35,466,14
内蒙古农业大学,467,23,,
内蒙古工业大学,468,30,,
内蒙古师范大学,,,,
呼伦贝尔学院,449,20,446,20
沈阳工业大学,525,44,499,6
