学校名称,理科分数线,理科招生人数,文科分数线,文科招生人数
省最低控制线（一批）,577,,569,
北京大学医学部,665,18,,
北京大学,685,23,643 05专业14、15专业641、638,22
中国人民大学,662,24,597,22
清华大学,685定678,49,631,6
北京师范大学,610补,26,602,14
北京外国语大学,645,8,617,10
南开大学,683,52,595,26
天津大学,634,97,571,4
大连理工大学,617,193,581,12
吉林大学,598,545,590,76
武汉大学,600,43,591,12
复旦大学,658,16,618,12
上海交通大学,657,47,,
同济大学,638,73,,
华东理工大学,578补,73,,
华东师范大学,-,,,
上海外国语大学,585,5,592,5
南京大学,657,20,620,10
东南大学,622,,,
浙江大学,657,45,608,12
厦门大学,618,43,571,20
山东大学,580,72,602,15
中国海洋大学,594补,55,572补,15
中山大学,583补,50,598,18
华中科技大学,616,59,,
兰州大学,593,35,588,17
四川大学,598,78,597,18
重庆大学,577补,28,589,4
江南大学,590,72,583,15
西安交通大学,624,26,,
中南大学,597,122,581补,12
陕西师范大学,578补,15,570补,12
东北师范大学,581补,41,585,12
西南大学,579补,44,572补,13
北京语言大学,622预583,13,576预559,12
华南理工大学,614,65,,
中国政法大学,631,25,585,27
对外经济贸易大学,658,20,610,20
中央财经大学,579补 612预科605,35,,
中南财经政法大学,582,33,596,22
上海财经大学,642,16,516,9
西南财经大学,578,55,592,25
中国农业大学,577补,110,,
南京农业大学,577,58,,2
华中农业大学,578,42,572,14
西北农林科技大学,581补569,38,,12
北京林业大学,578补预55定550,73,589,12
湖南大学,605补,69,571补,18
合肥工业大学,575补,110,569,10
西安电子科技大学,579补预570,105,576,10
北京交通大学,621定604,100,,
北京科技大学,610,72,583,11
北京化工大学,605预525,107,596,10
北京邮电大学,581补预572,124,598,7
北京中医药大学,596,32,574,6
中国传媒大学,610,27,606,12
东北大学,595补,66,,
东华大学,577,75,,
河海大学,588,47,588,14
中国药科大学,600,59,,
中国石油大学（华东）,578补,151,584,12
中国地质大学（武汉）,577补,55,571,
中国矿业大学（北京）,603,53,573,2
中国石油大学（北京）,608,58,593,4
中国地质大学（北京）,600定594,67,582,9
西南交通大学,582,100,582,7
电子科技大学,577,65,,
长安大学,582,82,570补,8
武汉理工大学,585,73,569补,7
华侨大学,577补预516,62,569,27
山东大学威海分校,581,46,576,24
北京体育大学,578,16,577,8
北京航空航天大学,642,67,588,4
北京理工大学,624,81,600,8
南京航空航天大学,582补,52,,
南京理工大学,584补,50,587补,1
西北工业大学,601补,50,574,2
中国科学技术大学,660,,,
暨南大学,579补,14,586,9
中央民族大学,577,47,592预588朝文565,52
华北电力大学（北京）,601预539,71,587预544,15
华北电力大学（保定）,605,57,577补,
大连海事大学,597,,591,
中国矿业大学,592,105,579,13
东北大学秦皇岛分校,582,96,573,14
上海交通大学医学院,650,6,-,
北京第二外国语学院,586,4,583,12
北京工商大学,593,27,592,3
燕山大学,577补,179,579,29
大连医科大学,612,6,,
辽宁工程技术大学,577补,40,570补,1
沈阳农业大学,577补,50,569补,6
中国医科大学,577补,25,,
沈阳药科大学,610,31,590,29
东北财经大学,598,28,,
西南政法大学,590,38,581,31
西安建筑科技大学,585,21,,
内蒙古大学,579补,15,472,5
石家庄铁道学院,577补,98,575补,14
太原理工大学,585,92,569补,8
江苏大学,577,41,569,9
首都师范大学,578补,14,597,6
南京信息工程大学,579补,35,,
天津中医药大学,595,6,,
西安理工大学,577,30,,
新疆大学,补580,6,,
深圳大学,577补,18,592,12
宁波大学,591,16,576,10
天津医科大学,591,5,,
西北大学,577补,24,569,16
四川农业大学,579补,10,,
广西大学,577补,30,,
南昌大学,577,112,574,24
辽宁大学,583补,10,571,13
湘潭大学,579补,24,573,36
云南大学,577补,45,573,25
华东政法大学,593,15,575,15
湖南师范大学,587补,10,569补,10
郑州大学,578,50,572,20
福州大学,577补,38,581,31
河北工业大学,581补,30,,
陕西科技大学,补577,10,,
长春理工大学,577,44,572补,6
苏州大学,579,20,572,7
中北大学,577补,25,,
北京工业大学,602,20,596,6
南京师范大学,588补,16,577,14
华南师范大学,579,11,569,8
浙江理工大学,580补,20,,
湖北大学,577补,22,补584,8
中国民航大学,580,39,,
东北电力大学,598,28,,
重庆邮电大学,577,40,,
首都医科大学,615,9,,
南方医科大学,578补,11,574补,3
贵州大学,578补,72,570补,12
广东外语外贸大学,586补,9,600,13
宁波诺丁汉大学,579,29,576,16
广西医科大学,587,4,,
山西医科大学,584补,3,,
沈阳建筑大学,577补,55,571补,10
上海理工大学,595,16,,
天津财经大学,589,25,596,18
中国计量学院,577,35,569,15
大连交通大学,588,22,,
南通大学,583补,12,,
广州中医药大学,583补,10,,
河南大学,588补,20,589补,15
成都中医药大学,-,,,
华南农业大学,580补,3,596补,2
浙江工业大学,584,19,,
南京邮电大学,579补,12,,
南京财经大学,578补,14,574,16
南京工业大学,579补,10,,
江苏科技大学,577,43,570补,4
长沙理工大学,577补,75,570补,13
青岛科技大学,577,35,,
青岛大学,587,37,570,9
浙江师范大学,588补,10,569补,15
大连工业大学,577补,12,,
西交利物浦大学,577,4,571,4
上海大学,580,10,582,5
辽宁中医药大学,590补,10,,
青岛理工大学,577补,73,,
哈尔滨工业大学,627,780,591,57
哈尔滨工程大学,595,467,571,29
东北林业大学,585,202,570补,24
哈尔滨工程大学（联办）,595,87,575,15
哈尔滨工业大学（威海校区）,601,30,,
哈尔滨师范大学,577补570,514,569补561,473
哈尔滨医科大学,581,463,572补,20
黑龙江大学,577,371,569,379
东北农业大学,577补,324,569,25
大庆石油学院,577,1495,569补559,117
哈尔滨商业大学,577,225,571,124
黑龙江中医药大学,578补,42,569补,16
佳木斯大学,577,30,,
哈尔滨理工大学,584,890,,
齐齐哈尔医学院,586补573,21,,
齐齐哈尔大学,577,15,572补561,51
