学校名称,理科分数线,理科招生人数,文科分数线,文科招生人数
省最低控制线（二批）,527,,501,
西南民族大学,528,91,523,41
西北民族大学,529,33,504,22
北方民族大学,527,19,505,12
大连民族学院,545少族539,192,529少族525,68
防灾科技学院,,,,
吉林大学,543,,506,1
中国民航大学,588,37,546,5
中国民用航空飞行学院,539,37,544,2
华北科技学院,531,29,520,10
中国劳动关系学院,554,10,535,9
中华女子学院,540,10,527,12
石河子大学,527,36,501,6
中南民族大学,,,,
上海海关学院,,,,
北方工业大学,616,10,,
北京印刷学院,572,19,,
北京建筑工程学院,560,11,533,4
北京石油化工学院,578,25,,
北京联合大学,,,,
北京物资学院,599,19,570,9
首都经济贸易大学,631,3,619,4
北京信息科技大学,,,,
北京城市学院,533,10,503,6
天津科技大学,583,47,538,9
天津工业大学,590,80,534,35
天津理工大学,575,40,,
天津农学院,529,29,502,3
天津中医药大学,564,29,528,14
天津师范大学,576,28,555,22
天津工程师范学院,527,79,506,6
天津商业大学,569,42,503,98
天津城市建设学院,550,6,511,50
天津体育学院,,,511,
唐山师范学院,,,,
河北大学,568,20,542,20
河北工程大学,527,67,502,11
石家庄经济学院,528,33,532,17
河北理工大学,549,30,,
河北科技大学,544,21,501,7
河北建筑工程学院,527,10,,
河北农业大学,533,94,517,6
河北医科大学,578,30,,
华北煤炭医学院,526,43,493,5
河北北方学院,547,10,484,10
承德医学院,507,20,,
河北师范大学,561,15,522,15
衡水学院,508,13,486,7
邢台学院,,,,
河北科技师范学院,527,15,501,5
北华航天工业学院,527,12,505,3
河北经贸大学,539,10,534,20
山西大学,558,8,538,12
太原科技大学,527,53,543,7
中北大学,538,33,510,8
山西农业大学,528,50,505,10
山西医科大学,557,32,535,5
长治医学院,507,20,,
山西师范大学,548,3,520,15
太原师范学院,528,15,501,15
山西大同大学,509,3,503,7
晋中学院,517,15,485,10
运城学院,508,15,481,15
忻州师范学院,507,14,481,16
山西财经大学,570,23,546,27
山西中医学院,512,10,504,5
太原工业学院,,,,
长治学院,,,,
内蒙古科技大学,527,15,502,6
内蒙古科技大学包头师范学院,507,15,502,6
内蒙古民族大学,512蒙439,35,502蒙433,17
内蒙古农业大学,530,54,525,2
内蒙古工业大学,528,50,,
内蒙古师范大学,,,,
呼伦贝尔学院,507,29,481,24
沈阳工业大学,578,42,513,7
沈阳航空工业学院,565,46,529,5
沈阳理工大学,551,39,501,10
辽宁科技大学,527,52,506,22
辽宁石油化工大学,540,55,516,15
沈阳化工学院,539,63,502,2
大连交通大学,572,120,547,8
大连工业大学,558,46,546,10
东北财经大学,,,,
辽宁工业大学,539,11,502,4
大连水产学院,550,56,515,7
大连医科大学,,,,
辽宁医学院,530,11,525,2
辽宁中医药大学,530,25,,
辽宁师范大学,,,529,17
沈阳师范大学,548,2,503,17
渤海大学,528,8,503,5
鞍山师范学院,510,10,501,10
大连外国语学院,617,7,595,15
沈阳体育学院,509,15,501,29
沈阳大学,529,6,532,4
大连大学,555,43,545,11
辽东学院,,,,
沈阳工程学院,528,12,511,2
延边大学,524,106,502,74
东北电力大学,574,102,535,10
长春工业大学,562,36,511,14
吉林建筑工程学院,528,68,523,4
吉林化工学院,527,40,,
吉林农业大学,527,66,503,4
北华大学,527,45,502,9
通化师范学院,517,18,489,12
吉林师范大学,538,10,508,14
吉林工程技术师范学院,519,6,489,4
长春师范学院,529,12,502,10
白城师范学院,,,489,10
长春税务学院,594,41,560,24
吉林华桥外国语学院,507,60,501,50
长春工程学院,527,93,507,4
吉林农业科技学院,513,12,500,2
长春大学,528,21,513,15
吉林医药学院,,,,
上海应用技术学院,,,,
上海海事大学,607,20,568,4
上海水产大学,566,14,530,6
上海金融学院,595,12,576,8
上海工程技术大学,,,,
上海商学院,,,,
江苏科技大学,561,49,502,11
江苏工业学院,530,33,500,4
南京林业大学,570,22,519,4
南通大学,530,19,502,20
上海立信会计学院,,,,
苏州科技学院,560,21,512,6
常州工学院,529,4,,
南京工程学院,562,26,541,4
南京审计学院,635,8,622,8
淮海工学院,527,9,505,11
南京人口管理干部学院,529,8,511,10
淮阴工学院,,,,
江苏技术师范学院,,,,
