学校名称,理科分数线,理科招生人数,文科分数线,文科招生人数
省最低控制线（一批）,588,,567,
北京大学医学部,674,18,,
北京大学,688,25,632,24
中国人民大学,664,25,626,26
清华大学,687,47,630,10
北京师范大学,648,26,601,14
北京外国语大学,637,8,600,9
南开大学,654,52,611,35
天津大学,630,95,596,4
大连理工大学,620,193,569,12
吉林大学,601,548,582,77
武汉大学,619,40,614,10
复旦大学,667,17,625,13
上海交通大学,665,45,,
同济大学,638,72,,
华东理工大学,617,73,,
华东师范大学,621,31,568,2
上海外国语大学,616,5,575,5
南京大学,653,18,605,8
东南大学,608,30,,
浙江大学,666,45,605,10
厦门大学,627,46,575,20
山东大学,613,65,581,14
中国海洋大学,614,56,592,14
中山大学,620,49,605,15
华中科技大学,590,55,,
兰州大学,588,34,577,21
四川大学,588,73,571,20
重庆大学,609,39,573,3
江南大学,600,67,569,20
西安交通大学,633,25,,
中南大学,603,124,588,12
陕西师范大学,591,15,568,22
东北师范大学,591,59,570,28
西南大学,589,58,572,16
北京语言大学,594,10,611,11
华南理工大学,598,55,575,10
中国政法大学,609,19,609,36
对外经济贸易大学,646,20,613,20
中央财经大学,653,31,593,13
中南财经政法大学,615,28,596,22
上海财经大学,640,17,588,7
西南财经大学,621,54,596,26
中国农业大学,613,110,,
南京农业大学,588,56,,
华中农业大学,588,52,567,12
西北农林科技大学,589,52,572,8
北京林业大学,607,80,586,13
湖南大学,602,66,600,12
合肥工业大学,603,92,578补,8
西安电子科技大学,605预545,105,,1
北京交通大学,603,96,596,3
北京科技大学,604,74,593,13
北京化工大学,605,101,580,10
北京邮电大学,630,106,571,10
北京中医药大学,588,28,575,5
中国传媒大学,599,18,593,15
东北大学,590,67,,
东华大学,605,70,,
河海大学,595,51,570,10
中国药科大学,588,59,,
中国石油大学（华东）,599,114,567,14
中国地质大学（武汉）,601,56,567,7
中国矿业大学（北京）,589,53,581,2
中国石油大学（北京）,611,66,584,4
中国地质大学（北京）,588,68,581,8
西南交通大学,590,98,567,7
电子科技大学,595,50,,
长安大学,595,79,567,11
武汉理工大学,592,72,577,8
华侨大学,,,,
山东大学威海分校,596,44,579,26
北京体育大学,590,15,582,7
北京航空航天大学,644,70,598,2
北京理工大学,627,79,583,7
南京航空航天大学,617,44,,
南京理工大学,615,49,587,2
西北工业大学,620,48,572,2
中国科学技术大学,660,18,,
暨南大学,611,10,596,13
中央民族大学,592,53,575,53
华北电力大学（北京）,623,72,581,13
华北电力大学（保定）,603,59,572,6
大连海事大学,612,119,569,12
中国矿业大学,593,92,567,13
东北大学秦皇岛分校,588,89,567,11
上海交通大学医学院,,,,
北京第二外国语学院,,,579,7
北京工商大学,588,27,594,4
燕山大学,606,113,578,27
大连医科大学,597,8,,
辽宁工程技术大学,588,40,571,10
沈阳农业大学,568,19,580,6
中国医科大学,593,23,,
沈阳药科大学,594,70,,
东北财经大学,625,38,605,32
西南政法大学,590,31,581,29
西安建筑科技大学,588,20,,
内蒙古大学,588,14,562蒙476,12
石家庄铁道学院,588,53,569,12
太原理工大学,588,90,571,10
江苏大学,588,41,585,9
首都师范大学,602,12,579,8
南京信息工程大学,599,25,,
天津中医药大学,591,6,,
西安理工大学,588,30,,
新疆大学,592,6,,
深圳大学,597,16,568,17
宁波大学,593,15,583,12
天津医科大学,595,10,,
西北大学,589,26,568,24
四川农业大学,589,20,,
广西大学,588,22,568,13
南昌大学,589,82,575,24
辽宁大学,,,568,23
湘潭大学,588,30,569,20
云南大学,590,22,567,18
华东政法大学,609,13,587,17
湖南师范大学,600,8,568,7
郑州大学,596,50,567,50
福州大学,600,26,570,9
河北工业大学,610,50,,
陕西科技大学,588,15,,
长春理工大学,588,40,571,10
苏州大学,594,15,596,12
中北大学,588,25,,
北京工业大学,588,14,572,1
南京师范大学,602,8,582,11
华南师范大学,588,10,589,6
浙江理工大学,600,20,,
湖北大学,590,22,575,8
中国民航大学,606,30,,
东北电力大学,608,28,,
重庆邮电大学,588,40,,
首都医科大学,584,8,,
南方医科大学,588,12,572,2
贵州大学,588,48,572,16
广东外语外贸大学,611,10,582,13
宁波诺丁汉大学,597,26,567,14
广西医科大学,604,5,,
山西医科大学,615,3,,
沈阳建筑大学,588,50,,
上海理工大学,592,20,,
天津财经大学,621,28,594,22
中国计量学院,588,35,569,15
大连交通大学,593,18,,
南通大学,596,10,,
广州中医药大学,588,8,589,2
河南大学,593,12,579,12
成都中医药大学,588,4,,
华南农业大学,589,4,570,1
浙江工业大学,591,20,,
南京邮电大学,,,,
南京财经大学,,,,
南京工业大学,,,,
江苏科技大学,,,,
长沙理工大学,,,,
青岛科技大学,,,,
青岛大学,,,,
浙江师范大学,,,,
大连工业大学,,,,
西交利物浦大学,,,,
上海大学,,,,
辽宁中医药大学,,,,
青岛理工大学,,,,
哈尔滨工业大学,631,772,578,52
哈尔滨工程大学,615,452,567,28
东北林业大学,588,273,568,30
哈尔滨工程大学（联办）,597,73,568,10
哈尔滨工业大学（威海校区）,615,30,,
哈尔滨师范大学,588,420,567,470
哈尔滨医科大学,590,372,567,20
黑龙江大学,588,332,567,375
东北农业大学,588,306,570,16
大庆石油学院,583,1458,557,115
哈尔滨商业大学,588,202,567,120
黑龙江中医药大学,588,65,574,13
佳木斯大学,588,55,568,4
哈尔滨理工大学,588,955,,
齐齐哈尔医学院,590,20,,
齐齐哈尔大学,588,45,570,18
