分数,本段人数,累计人数
677以上,17,17
676,2,19
675,3,22
674,5,27
673,1,28
672,4,32
671,1,33
670,2,35
669,3,38
668,3,41
667,2,43
666,2,45
665,8,53
664,1,54
663,2,56
662,3,59
661,4,63
660,1,64
659,5,69
658,11,80
657,5,85
656,10,95
655,12,107
654,6,113
653,3,116
652,13,129
651,7,136
650,11,147
649,12,159
648,7,166
647,3,169
646,7,176
645,8,184
644,15,199
643,9,208
642,16,224
641,13,237
640,17,254
639,17,271
638,13,284
637,20,304
636,26,330
635,14,344
634,24,368
633,22,390
632,17,407
631,16,423
630,27,450
629,17,467
628,23,490
627,32,522
626,25,547
625,31,578
624,19,597
623,30,627
622,30,657
621,24,681
620,20,701
619,30,731
618,30,761
617,40,801
616,23,824
615,45,869
614,29,898
613,38,936
612,29,965
611,26,991
610,46,1037
609,40,1077
608,31,1108
607,34,1142
606,49,1191
605,53,1244
604,52,1296
603,59,1355
602,57,1412
601,61,1473
600,57,1530
599,54,1584
598,52,1636
597,65,1701
596,50,1751
595,63,1814
594,66,1880
593,45,1925
592,68,1993
591,69,2062
590,61,2123
589,76,2199
588,60,2259
587,61,2320
586,81,2401
585,76,2477
584,87,2564
583,69,2633
582,88,2721
581,89,2810
580,88,2898
579,76,2974
578,93,3067
577,85,3152
576,90,3242
575,88,3330
574,87,3417
573,95,3512
572,105,3617
571,94,3711
570,114,3825
569,114,3939
568,103,4042
567,117,4159
566,117,4276
565,117,4393
564,97,4490
563,118,4608
562,109,4717
561,109,4826
560,119,4945
559,106,5051
558,119,5170
557,127,5297
556,135,5432
555,131,5563
554,143,5706
553,132,5838
552,145,5983
551,131,6114
550,159,6273
549,148,6421
548,168,6589
547,167,6756
546,139,6895
545,147,7042
544,139,7181
543,175,7356
542,153,7509
541,184,7693
540,176,7869
539,169,8038
538,177,8215
537,167,8382
536,171,8553
535,169,8722
534,179,8901
533,165,9066
532,192,9258
531,176,9434
530,176,9610
529,178,9788
528,177,9965
527,188,10153
526,176,10329
525,196,10525
524,202,10727
