分数,累积人数,本段人数
253,131460,218
252,131678,218
251,131897,219
250,132115,218
249,132313,198
248,132510,197
247,132708,198
246,132905,197
245,133103,198
244,133301,198
243,133498,197
242,133696,198
241,133893,197
240,134091,198
239,134258,167
238,134424,166
237,134591,167
236,134757,166
235,134924,167
234,135091,167
233,135257,166
232,135424,167
231,135590,166
230,135757,167
229,135898,141
228,136039,141
227,136180,141
226,136321,141
225,136462,141
224,136603,141
223,136744,141
222,136885,141
221,137026,141
220,137167,141
219,137272,105
218,137378,106
217,137483,105
216,137589,106
215,137694,105
214,137799,105
213,137905,106
212,138010,105
211,138116,106
210,138221,105
209,138304,83
208,138386,82
207,138469,83
206,138552,83
205,138634,82
204,138717,83
203,138800,83
202,138883,83
201,138965,82
200,139048,83
199,139116,68
198,139183,67
197,139251,68
196,139318,67
195,139386,68
194,139454,68
193,139521,67
192,139589,68
191,139656,67
190,139724,68
189,139767,43
188,139810,43
187,139853,43
186,139896,43
185,139938,42
184,139981,43
183,140024,43
182,140067,43
181,140110,43
180,140153,43
179,140186,33
178,140219,33
177,140252,33
176,140285,33
175,140318,33
174,140351,33
173,140384,33
172,140417,33
171,140450,33
170,140483,33
169,140502,19
168,140522,20
167,140541,19
166,140561,20
165,140580,19
164,140599,19
163,140619,20
162,140638,19
161,140658,20
160,140677,19
159,140690,13
158,140704,14
157,140718,14
156,140731,13
155,140744,13
154,140758,14
153,140772,14
152,140785,13
151,140798,13
150,140812,14
149,140820,8
148,140828,8
147,140837,9
146,140845,8
145,140853,8
144,140861,8
143,140869,8
142,140878,9
141,140886,8
140,140894,8
139,140898,4
138,140902,4
137,140905,3
136,140909,4
135,140913,4
134,140917,4
133,140921,4
132,140924,3
131,140928,4
130,140932,4
129,140934,2
128,140936,2
127,140938,2
126,140940,2
125,140942,2
124,140943,1
123,140945,2
122,140947,2
121,140949,2
120,140951,2
119,140952,1
118,140954,2
117,140955,1
116,140956,1
115,140958,2
114,140959,1
113,140960,1
112,140961,1
111,140963,2
110,140964,1
109,140965,1
108,140967,2
107,140968,1
106,140969,1
105,140970,1
104,140972,2
103,140973,1
102,140974,1
101,140976,2
100,140977,1
99,140978,1
98,140979,1
97,140980,1
96,140981,1
95,140982,1
94,140982,0
93,140983,1
92,140984,1
91,140985,1
90,140986,1
89,140987,1
88,140987,0
87,140988,1
86,140989,1
85,140990,1
84,140990,0
83,140991,1
82,140992,1
81,140992,0
80,140993,1
79,140994,1
78,140994,0
77,140994,0
76,140995,1
75,140996,1
74,140996,0
73,140996,0
72,140997,1
71,140998,1
70,140998,0
69,140999,1
68,140999,0
67,141000,1
66,141000,0
65,141001,1
64,141002,1
63,141002,0
62,141003,1
61,141003,0
60,141004,1
59,141004,0
58,141004,0
57,141004,0
56,141004,0
55,141004,0
54,141005,1
53,141005,0
52,141005,0
51,141005,0
50,141005,0
49,141005,0
48,141005,0
47,141006,1
46,141006,0
45,141006,0
44,141006,0
43,141006,0
42,141007,1
41,141007,0
40,141007,0
39,141007,0
38,141008,1
37,141008,0
36,141008,0
35,141008,0
34,141009,1
33,141009,0
32,141009,0
31,141010,1
30,141010,0
29,141010,0
28,141011,1
27,141011,0
26,141011,0
25,141012,1
24,141012,0
23,141012,0
22,141012,0
21,141013,1
20,141013,0
19,141014,1
18,141014,0
17,141014,0
16,141015,1
15,141016,1
14,141016,0
13,141016,0
12,141017,1
11,141018,1
10,141018,0
9,141112,94
8,141207,95
7,141301,94
6,141395,94
5,141490,95
4,141584,94
3,141678,94
2,141772,94
1,141867,95
0,141961,94
